word,sense_no,sense_def,example
party,1,group,"The Company may appoint any institution or institutions as new Remarketing Agent(s) hereunder (each a New Remarketing Agent ) in respect of the Remarketing in which event, upon the confirmation by such institution through a letter to the Company and the Stock Purchase Contract Agent confirming acceptance of such nomination by the New Remarketing Agent substantially in the form of Annex III hereof, such New Remarketing Agent shall become a party hereto, unless otherwise provided for herein, with all the authority, rights, powers, duties and obligations as if originally named as Remarketing Agent hereunder."
party,1,group,"It does not include information that the recipient already knew, that becomes public through no fault of the recipient, that was independently developed by the recipient or that was lawfully given to the recipient by a third party."
party,1,group,"If the parties cannot agree upon the panel of three arbitrators, then each party may pick an arbitrator and the two chosen arbitrators shall choose upon the three-arbitrator panel."
party,1,group,"In entering into this Agreement neither party has relied on any statement, representation or warranty not expressly set out in this Agreement."
party,1,group,"In addition, EDGE exercise of such right is for EDGE' benefit alone and shall confer no rights to Subcontractor or to any third party."
party,1,group,"During the Term and for a period of [ * ] following the expiration or termination of this Agreement, Distributor shall not, and shall not engage any third party to: (a) restrict, modify, or reconfigure in any manner any of the Products that have been installed by End Users (such End Users, Installed Base End Users ) in connection with this Agreement; or (b) engage in activities that encourage Installed Base End Users to modify, uninstall or reconfigure any or the Products."
party,1,group,"The Company acknowledges and agrees that (a) the Remarketing of the Remarketed Securities pursuant to this Remarketing Agreement is an arm's-length commercial transaction between the Company, on the one hand, and the several Remarketing Agents, on the other hand, (b) in connection with any Remarketing contemplated by this Remarketing Agreement and the Pricing Agreement and the process leading to any such transaction, each Remarketing 31 Agent is and has been acting solely as a principal and is not the agent or fiduciary of the Company, or its stockholders, creditors, employees or any other party, (c) no Remarketing Agent has assumed or will assume an advisory or fiduciary responsibility in favor of the Company with respect to any such Remarketing contemplated hereby or the process leading thereto (irrespective of whether such Remarketing Agent has advised or is currently advising the Company on other matters) and no Remarketing Agent has any obligation to the Company with respect to such Remarketing contemplated hereby except the obligations expressly set forth in this Remarketing Agreement and the Pricing Agreement, (d) the Remarketing Agents and their respective affiliates may be engaged in a broad range of transactions that involve interests that differ from those of the Company, (e) the Company agrees that it will not claim that the Remarketing Agents, or any of them, have rendered advisory services of any nature or respect, or owe a fiduciary or similar duty to the Company, in connection with such transaction or the process leading thereto and (f) the Remarketing Agents have not provided any legal, accounting, regulatory or tax advice with respect to the offering contemplated hereby and the Company has consulted its own legal, accounting, regulatory and tax advisors to the extent it deemed appropriate."
party,1,group,"Except as set out in Clause 2 (Licence Grant and Restrictions) and except for End Users as expressly set out in this Agreement, Distributor shall not offer or distribute the Products to any third party."
party,1,group,"Member hereby acknowledges and agrees that Franchisor is an intended third-party beneficiary of this Agreement with the right to enforce it, independently or jointly with Franchisee."
party,1,group,"Subcontractor represents and warrants to EDGE that Subcontractor's performance of this Agreement will not violate any other employment, services, confidentiality, consulting or other agreement to which Subcontractor is a party or by which it may be bound."
party,2,occasion,"This morning Miep told us about her cousin’s engagement party, which she went to on Saturday."
party,2,occasion,"She asked why, as I knew she would, and I told her that I had to buy a present for a party I was going to later that afternoon."
party,2,occasion,Now the food set the party into a kind of rich digestive sadness.
party,2,occasion,"She tossed the bag out again, and just when it seemed she would never speak, she said, “Thanks for inviting me to your party.”"
party,2,occasion,"After all, prior to MADD, it was considered socially acceptable to have one last drink at the party before getting on the road."
party,2,occasion,"But Og’s birthday party was a special event, and so the usual clientele would be banished for the evening."
party,2,occasion,It seemed strange that the High Blade would show up at the party of a highly controversial scythe.
party,2,occasion,"The Tuesday after the Halloween party, Mrs. Richardson stopped by the duplex on Winslow Road."
party,2,occasion,"Meanwhile his wife, Aunt Mary, was having her own party with a man named Mr. Stein."
party,2,occasion,“How can you say what he’s done? He could have told half the people at the party.”
Agreement,1,contract,"This Agreement, together with all exhibits attached hereto which are hereby incorporated by reference, supersedes any and all other agreements, either oral or written, between the parties hereto with respect to the subject matter hereof and contains of the covenants and agreements between the parties with respect to said matter."
Agreement,1,contract,Any Improved Products shall be subject to the provisions of this Agreement.
Agreement,1,contract,This Agreement does not create the relationship of principal and agent between the Company and the Distributor for any purpose whatsoever.
Agreement,1,contract,"If Company terminates the Agreement without cause and for reasons other than Distributor's failure to meet its minimum expectations; it shall repurchase from Distributor any unopened Product, and shall bear all shipping, handling and related costs notwithstanding any other remedies to which Distributor may be entitled."
Agreement,1,contract,"In addition to any other remedy which this Agreement provides to Distributor against Company, if Company fails to deliver or delays in delivering Products as were ordered by Distributor within 45 days after their required delivery date, and if as a result of such failure or delay Distributor loses its customer's orders for those Products, the number of units which Distributor ordered but were not timely delivered to Distributor or to Distributor's customer will be credited against Distributor's minimum expectation as specified on Section 1."
Agreement,1,contract,"Either party may terminate this Agreement upon 30 days Page -8- prior written notice to the other upon the occurrence of any of the following events: (A) the Distributor's failure to make full and prompt payment to the Company of all sums due and owing to it; (b) either party's default in the performance of any of the material, terms, conditions, obligations, undertakings, covenants or liabilities set forth herein and such default is not cured within a commercially reasonable time after the defaulting party has been notified of the default by the other party and (c) as otherwise expressly provided herein."
Agreement,1,contract,"Company and Distributor agree to indemnify, defend and hold each other harmless from any and all suits, claims, obligations, liabilities, damages, losses and the like (including attorneys' fees and costs) relating to or arising out of: (A) any breach of any material representations, warranties, covenants, obligations, agreements or duties in connection with this Agreement; (b) any negligence or fault; (c) any violation by either of them of the patent, copyright, trademark or other Page -10- intellectual property rights of third parties."
Agreement,1,contract,"This Agreement may not be altered, amended or modified, except by written instrument signed by the parties hereto."
Agreement,1,contract,"Distributor shall submit written reports to the Company each quarter during the first year of the Term, commencing ninety (90) days after execution of this Agreement, describing its efforts, the potential customers it has approached and the status of its efforts."
Agreement,1,contract,"As an inducement to Distributor to enter into this Agreement the Company has represented that it has the facilities, personnel and financial capability to have the Products produced and supplied as needed pursuant to the terms hereof."
Agreement,2,understanding,That is not agreement in opinions but in form of life.’
