,word,sense1,sense2,score
0,Server,host,host,0.79
1,Server,host,waiter,0.72
2,Server,waiter,waiter,0.71
3,Application,program,program,0.61
4,Application,program,request,0.61
5,Application,program,use,0.63
6,Application,request,request,0.85
7,Application,request,use,0.86
8,Application,use,use,0.91
9,following,reference,reference,0.55
10,following,reference,pursue,0.59
11,following,pursue,pursue,0.83
12,Java,software,software,0.8
13,Java,software,coffee,0.79
14,Java,coffee,coffee,0.83
15,Windows,software,software,0.93
16,Windows,software,framework,0.8
17,Windows,framework,framework,0.78
