,word,sense1,sense2,score
0,cell,bio,bio,0.43
1,cell,bio,room,0.2
2,cell,bio,phone,0.25
3,cell,room,room,0.53
4,cell,room,phone,0.42
5,cell,phone,phone,0.52
6,expression,bio,bio,0.54
7,expression,bio,Non-verbal,0.22
8,expression,Non-verbal,Non-verbal,0.53
9,study,experiment,experiment,0.53
10,study,experiment,room,0.25
11,study,room,room,0.4
12,treatment,medical care,medical care,0.45
13,treatment,medical care,behavior,0.27
14,treatment,behavior,behavior,0.51
15,host,organism,organism,0.5
16,host,organism,organizer,0.14
17,host,organizer,organizer,0.45
