word,sense_no,sense_def,example
film,1,movie,"By the end, two years have passed in this film and 18 months since Suicide Club."
film,1,movie,"The film is centered on Mortal Kombat, a fighting tournament between the representatives of the realms of Earth and Outworld conceived by the Elder Gods amid looming invasion of the Earth by Outworld."
film,1,movie,The structure of the film consists of several subplots which all revolve around an intertwined cast of characters.
film,1,movie,"A waitress closing up an isolated diner hears a noise, steps on a Haloween masked, and is stabbed again and again and Suddenly the face of an English man, Max Parry (Kevin Howarth), appears, declaring The film you borrowed from the video store, I recorded over it I think you'll find this more interesting and what follows is a homemade video of Max in London, murdering people, serving meals for his friends and family, shooting wedding videos for his day job (the best place in the world to meet women), trying to persuade his retiring camera assistant (Mark Stevenson) to take a more participatory rôle, lecturing to camera on the moral underpinnings of his way of life, and murdering more people."
film,1,movie,The film all centres around one match as the 2 brothers come face to face.
film,1,movie,The film ends with a glory scene in which real cows are slaughtered.
film,1,movie,"The closing image of the film depicts Feraud in silent contemplation, gazing at the horizon in utter solitude unable to pursue the obsession that has consumed him for so many years."
film,1,movie,"The film is divided into 5 chapters, the first four of which are named after characters in the film: Noriko, Yuka, Kumiko and Tetsuzo, in that order."
film,1,movie,"The film begins by introducing Richard (John Hawkes), a shoe salesman and recently separated father of two."
film,1,movie,"Some of the CG is a bit soft and on the 'made for TV' side, but that's to be expected when the entire film probably had a budget not much more than that of a single Dr."
film,2,verb,"The sound team records me reading from my cards in a chirpy voice so they can insert it later, then I’m tossed out of the room so they can film my/Cinna’s designs in peace."
film,2,verb,"I take my camera and film as Kareem dips a piece of bread into the cheese, spinning the melted strands around the end of his fork."
film,2,verb,"There was no film in the camera, but that didn’t matter."
film,2,verb,"Rumors of my death have been running rampant, so they send in the team to film me in my hospital bed."
film,2,verb,The cafeteria is a giant sound stage where they film daily segments of Teenage Humiliation Rituals.
film,2,verb,"“We have to write the script, invite people to be on the video, interview and film them, edit the videos, and prepare for the school event. Hmmm, how about the beginning of November?”"
film,2,verb,"“Oh, when you’re ready to film, can I audition to be in your movie?”"
film,2,verb,"“He told me he’s all into movies. I’m only going to ask him to film us,” I say."
film,2,verb,"My pocket camcorder raised to my eye, I film the Saturday afternoon crowd entering and leaving."
film,2,verb,Cell phones surreptitiously removed from pockets to film the spectacle.
shoot,1,bullet,soldiers ordered to shoot on sight.
shoot,1,bullet,"They build a space capsule in the shape of a bullet, and a huge cannon to shoot it into space."
shoot,1,bullet,"Eddie tells the second man to get down, but is forced to shoot him in the chest, resulting in a violent fight that ends with Eddie strangling his opponent with a zip tie."
shoot,1,bullet,"After a short struggle, Rick tries to shoot Leatherface with a ."
shoot,1,bullet,"All the suspects shoot him except Usha, who bursts into tears."
shoot,1,bullet,"Pablo teaches Ãngela to shoot a gun and, subsequently, inducts her into their gang after an afternoon of makeshift target shooting."
shoot,1,bullet,"In a high-school game of Killer (in which a student must shoot another with a squirt gun), Matt Arnold has to kill classmate Jenny Herk, and decides to sneak up on her at home."
shoot,1,bullet,"Feraud rapidly discharges both his pistols, before being caught at point blank range by d'Hubert, who refuses to shoot him because tradition dictates he now owns Feraud's life."
shoot,1,bullet,"catches wind of this, he and Matt try to shoot down Nick's plane, killing Lisa in the process while Nick jumps out before the plane crashes."
shoot,1,bullet,"In New York City, we see veteran thief Keith Ripley (Morgan Freeman) walk into a health spa with a gun and shoot and kill a man in a hot tub."
shoot,1,bullet,"While the three stop for the night, Konitz's two partners, whom he had betrayed to get all the loot for himself, shoot at Konitz and take control of the money and the car."
shoot,1,bullet,Usha could not stop him and attempted to shoot him.
shoot,1,bullet,"The last two of Hawk's crew are killed off, and Hawk manages to shoot and kill Zeriatin, but not before being shot himself."
shoot,2,record,"At the shoot, Bradley and Bernard insult Ravi in the washroom and break his camera."
shoot,2,record,"Angry and frustrated, Hazell drives off, amid jests from the locals, and loses the respect of his shooting party due to the lack of pheasants to shoot."
shoot,2,record,They plan to shoot it when Iron is close enough.
shoot,2,record,During her work as a model she poses for a chewing-gum campaign and during the photo shoot the photographer asks her to look very sad.
shoot,2,record,"Kurtis, a popular student and aspiring actor, invites his schoolmates to a video shoot."
hand,1,anatomy,"Cho happens to walk into the gallery while the thugs are loading the goods in a van, is attacked and responds with hand-to-hand combat."
hand,1,anatomy,Walter pursues Erika into a lavatory immediately after she has secretly ruined her pupil's hand.
hand,1,anatomy,"The goo spreads to his hand, causing his veins to pop on his face and he is killed."
hand,1,anatomy,"Kurt lives a hand-to-mouth hippie lifestyle, while Mark has moved on from that scene and gotten a proper job and a house."
hand,1,anatomy,"She does so by hiding shards of glass inside one of Anna's coat pockets, damaging her right hand and ruining her aspirations to play at the forthcoming jubilee concert."
hand,1,anatomy,"Fearful, Eleanor asks Theo to hold her hand and she feels it being crushed."
hand,1,anatomy,"Higgins, who dislikes the pretentiousness of the upper class, partly conceals a grin behind his hand, as if to say I wish I had said that! The bet is won when Eliza successfully poses as a mysterious lady of patently noble rank at an embassy ball, despite the unexpected presence of a Hungarian phonetics expert trained by Higgins."
hand,1,anatomy,"But instead they break into the wrong house as Jimmie walks out of the bathroom with a handheld hair dryer in hand, Parnell shoots thinking it's a weapon."
hand,1,anatomy,"Elisabet stands quietly beside the two, holding Alma's hand, and Alma admits her love for Mr."
hand,1,anatomy,"Thomas wakes up after hearing a door slam shut, and finds that Ellen has slit her wrists, weapon still in hand."
hand,1,anatomy,"Selene engages Markus in hand-to-hand combat, killing him by kicking him into the rotor blades of the cleaners' crashed helicopter."
hand,1,anatomy,"Hawk promises the kid will not be a problem, but threatens to kill Zariatin if he tries to lay a hand on him."
hand,1,anatomy,"They soon realize that they are trapped in the sauna and attempts to break a small window on the door, injuring Ian's hand."
hand,1,anatomy,"Eleanor then sees that she has moved from the bed to the couch, and realizes that Theo was not the one she felt holding her hand."
hand,1,anatomy,They plant drugs in the house and place a firearm in the hand of Rainwood's unconscious body and they frame him as a drug dealer.
hand,2,situation,"In Outworld, Liu is attacked by Reptile, but eventually gains the upper hand and defeats him."
hand,2,situation,"Merida twists the rules, announcing that she is eligible to compete for her own hand as the first-born of Clan Dunbroch."
hand,2,situation,"Kid's dreams are shattered, however, when Smoke's race gets out of hand and his father is hit + killed."
hand,2,situation,"On the one hand, Scott is clearly a nutjob, but on the other, why does Poppy have to keep torturing him with her antics? Why can't she just shut up and concentrate on driving? I don't think I'd last five minutes with her, but Scott keeps coming back week after week because he prides himself on never having lost a student."
hand,2,situation,"The Emperor gains the upper hand over Rick, but Rick and Alex manage to stab the Emperor with the dagger, killing him and defeating the Terracotta Army."
hand,2,situation,"As a wounded Drayton commentates from under the table, Lefty gains the upper hand and impales Leatherface in the stomach."
hand,2,situation,"Stretch then gets the upper hand on Chop Top, as she cuts him with the chainsaw, causing him to fall off the tower to a presumed death."
hand,3,person,The allied clan chieftains arrive with their first-born sons to compete in the Highland games for Merida's hand in marriage.
hand,3,person,He goes to ask Susan's father Burt (Nick Nolte) for her hand in marriage.
hand,4,give,"Meanwhile, Carl, in light of the unanticipated complication of three murders, demands that Jerry hand over the entire ransom (which he still believes is $80,000); and GMAC gives Jerry 24 hours to repay their loan or face legal consequences."
hand,4,give,"Senator DeHaven hand-picks topographical analyst Lieutenant Jordan O'Neil (Demi Moore), because she is physically more feminine than the other candidates."
hand,4,give,"At the pre-arranged drop point in a parking garage, he refuses to hand over the cash-filled briefcase to Carl until his daughter is returned."
hand,4,give,"He obtains their promise to help him escape Rome, rejoin his soldiers, topple Commodus by force, and hand power back to the Roman Senate."
hand,5,object,Arunachalam meets a young girl Nandhini (Rambha) when a thief snatches her hand bag.
hand,5,object,"The next morning, Rajan, a radio engineer and communications researcher, is found murdered with his own hand gun in his house in Madras after his neighbour, Chinnaiah Pillai, having heard the gunshot, complains to the police."
couple,1,pair,"The royal couple descends to the ballroom, where Aurora is happily reunited with her overjoyed parents, despite King Hubert's confusion."
couple,1,pair,"Arthur assumes that these are natives, not the young couple they have been searching for all these years, and the ship passes."
couple,1,pair,"Having ditched David, Charlie Venner returns to the couple's farmhouse, where he initiates sex with Amy."
couple,1,pair,"At Gina's apartment, Smith and another terrorist, Jones (Stipe Erceg), attack; the couple escapes after Gina kills Smith."
couple,1,pair,"It is off-season, so the couple are alone in the hotel."
couple,1,pair,As they exit it is shown that they are now a couple and hold hands while Marius enters the Talamasca.
couple,1,pair,"Believing that Al is too young, his brothers nearly break the couple up, but realize what they have done and apologize."
couple,1,pair,The film opens to the sounds of a couple having sex.
couple,1,pair,"After the four young motorcyclists the couple met at a gas station pass them and pour oil on the road, the Mancinis' car goes off the road and crashes."
couple,1,pair,The third couple featured is about Sgt.
couple,1,pair,"A recently married young couple, Stefan (John Karlen) and Valerie (Danielle Ouimet), are on their honeymoon."
couple,1,pair,"Some days later, a fractious couple, the outgoing Faye (Marilyn Burns) and the disturbed Roy (William Finley), arrive at the hotel, along with their young daughter, Angie (Kyle Richards), and Angie's inquisitive dog."
couple,1,pair,"Ben soon finds the clinic work is more laid-back than the emergency room to which he is used with simple cases, such as spots before the eyes of an elderly patient not cleaning her glasses, fishing hook impaling and even reading mail for a young illiterate couple, Kyle and Mary Owens, whose baby he later delivers."
couple,1,pair,"Leo and Ellen are a successful New York couple, totally immersed in their work."
couple,1,pair,The couple fall in love and are married.
couple,1,pair,He takes the couple hostage and orders Eve to head to Mexico.
couple,2,few,"Though Catlett denies knowing what happened to Yayo or the money, it is clear that Escobar holds Catlett responsible giving him just a couple of days to find both of them or there will be fatal consequences."
couple,2,few,Linda brings him his breakfast and he hits her a couple of times leaving a bruise on her face.
couple,2,few,"After a frantic race against the clock the family arrives at the hotel, and are curtly told by a pageant organizer that they are a couple minutes past the deadline."
couple,2,few,"Poppy has a ton of friends, one of whom is her roommate; a couple of sisters, and a very full life that includes bouncing on a trampoline and taking flamenco lessons."
couple,2,few,"Their only son Brian Cleek (Zach Rand) watches as a couple of boys abuse and push a small girl into a corner, making no effort to save her."
