,word,sense1,sense2,score
0,party,group,group,0.83
1,party,group,occasion,0.84
2,party,occasion,occasion,0.94
3,Agreement,contract,contract,0.88
4,Agreement,contract,understanding,0.9
5,Agreement,understanding,understanding,0.96
6,Company,organization,organization,0.84
7,Company,organization,companionship,0.85
8,Company,companionship,companionship,0.96
9,Product,goods,goods,0.64
10,Product,goods,consequence,0.72
11,Product,consequence,consequence,0.85
12,notice,announcement,announcement,0.92
13,notice,announcement,observing,0.89
14,notice,observing,observing,0.9
