,word,sense1,sense2,score
0,party,group,group,0.41
1,party,group,occasion,0.17
2,party,occasion,occasion,0.55
3,Agreement,contract,contract,0.52
4,Agreement,contract,understanding,0.35
5,Agreement,understanding,understanding,0.55
6,Company,organization,organization,0.41
7,Company,organization,companionship,0.26
8,Company,companionship,companionship,0.56
9,Product,goods,goods,0.34
10,Product,goods,consequence,0.24
11,Product,consequence,consequence,0.53
12,notice,announcement,announcement,0.56
13,notice,announcement,observing,0.2
14,notice,observing,observing,0.62
