,word,sense1,sense2,score
0,Server,host,host,0.5
1,Server,host,waiter,0.26
2,Server,waiter,waiter,0.41
3,Application,program,program,0.44
4,Application,program,request,0.25
5,Application,program,use,0.19
6,Application,request,request,0.5
7,Application,request,use,0.35
8,Application,use,use,0.43
9,following,reference,reference,0.66
10,following,reference,pursue,0.32
11,following,pursue,pursue,0.58
12,Java,software,software,0.59
13,Java,software,coffee,0.28
14,Java,coffee,coffee,0.34
15,Windows,software,software,0.57
16,Windows,software,framework,0.23
17,Windows,framework,framework,0.45
